dtec,gdlat,glon,station,tec,ut1_unix
0.658944,32.0,35.0,BSHM,6.55108,1667327400.0
0.753902,32.0,35.0,BSHM,6.45005,1667327700.0
0.584131,32.0,35.0,BSHM,6.7024,1667328000.0
0.462818,32.0,35.0,BSHM,6.86805,1667328300.0
0.492607,32.0,35.0,BSHM,7.15186,1667328600.0
0.43549,32.0,35.0,BSHM,7.15406,1667328900.0
0.434553,32.0,35.0,BSHM,7.15127,1667329200.0
0.460704,32.0,35.0,BSHM,7.28433,1667329500.0
0.460636,32.0,35.0,BSHM,7.29822,1667329800.0
0.531856,32.0,35.0,BSHM,7.22287,1667330100.0
0.582697,32.0,35.0,BSHM,7.24021,1667330400.0
0.532262,32.0,35.0,BSHM,7.11531,1667330700.0
0.583216,32.0,35.0,BSHM,6.97634,1667331000.0
0.651745,32.0,35.0,BSHM,7.00194,1667331300.0
0.58283,32.0,35.0,BSHM,7.08029,1667331600.0
0.434467,32.0,35.0,BSHM,6.87019,1667331900.0
0.460617,32.0,35.0,BSHM,7.12628,1667332200.0
0.376403,32.0,35.0,BSHM,7.0647,1667332500.0
0.376134,32.0,35.0,BSHM,6.97363,1667332800.0
0.361596,32.0,35.0,BSHM,6.88384,1667333100.0
0.348567,32.0,35.0,BSHM,6.81761,1667333400.0
0.348295,32.0,35.0,BSHM,6.72994,1667333700.0
0.411856,32.0,35.0,BSHM,6.78668,1667334000.0
0.392765,32.0,35.0,BSHM,6.70192,1667334300.0
0.411994,32.0,35.0,BSHM,6.74974,1667334600.0
0.43439,32.0,35.0,BSHM,6.47181,1667334900.0
0.460593,32.0,35.0,BSHM,6.50381,1667335200.0
0.434654,32.0,35.0,BSHM,6.2238,1667335500.0
0.412087,32.0,35.0,BSHM,6.11727,1667335800.0
0.392718,32.0,35.0,BSHM,6.07036,1667336100.0
0.336539,32.0,35.0,BSHM,5.9893,1667336400.0
0.336375,32.0,35.0,BSHM,6.08939,1667336700.0
0.348362,32.0,35.0,BSHM,6.28704,1667337000.0
0.362161,32.0,35.0,BSHM,6.33507,1667337300.0
0.377286,32.0,35.0,BSHM,6.98397,1667337600.0
0.361259,32.0,35.0,BSHM,7.21943,1667337900.0
0.376384,32.0,35.0,BSHM,7.26045,1667338200.0
0.392547,32.0,35.0,BSHM,7.21928,1667338500.0
0.392556,32.0,35.0,BSHM,7.20868,1667338800.0
0.392497,32.0,35.0,BSHM,7.25546,1667339100.0
0.392509,32.0,35.0,BSHM,7.24777,1667339400.0
0.434078,32.0,35.0,BSHM,7.25447,1667339700.0
0.43401,32.0,35.0,BSHM,7.15735,1667340000.0
0.434047,32.0,35.0,BSHM,7.36791,1667340300.0
0.460486,32.0,35.0,BSHM,7.25512,1667340600.0
0.491995,32.0,35.0,BSHM,7.37301,1667340900.0
0.492075,32.0,35.0,BSHM,7.32611,1667341200.0
0.582211,32.0,35.0,BSHM,7.19091,1667341500.0
0.460497,32.0,35.0,BSHM,7.02485,1667341800.0
0.434133,32.0,35.0,BSHM,6.68643,1667342100.0
0.434278,32.0,35.0,BSHM,6.78411,1667342400.0
0.434224,32.0,35.0,BSHM,6.70725,1667342700.0
0.411969,32.0,35.0,BSHM,6.64851,1667343000.0
0.492354,32.0,35.0,BSHM,6.63079,1667343300.0
0.531688,32.0,35.0,BSHM,6.49931,1667343600.0
0.531593,32.0,35.0,BSHM,6.30141,1667343900.0
0.582626,32.0,35.0,BSHM,6.37335,1667344200.0
0.651394,32.0,35.0,BSHM,6.4385,1667344500.0
0.752925,32.0,35.0,BSHM,6.53913,1667344800.0
0.921409,32.0,35.0,BSHM,6.52693,1667345100.0
0.921647,32.0,35.0,BSHM,5.64543,1667348100.0
0.753177,32.0,35.0,BSHM,5.20486,1667348400.0
0.754958,32.0,35.0,BSHM,5.19023,1667348700.0
0.65318,32.0,35.0,BSHM,5.08154,1667349000.0
0.532385,32.0,35.0,BSHM,5.17936,1667349300.0
0.532049,32.0,35.0,BSHM,5.13832,1667349600.0
0.492558,32.0,35.0,BSHM,5.08378,1667349900.0
0.460824,32.0,35.0,BSHM,5.22281,1667350200.0
0.492635,32.0,35.0,BSHM,5.16959,1667350500.0
0.460498,32.0,35.0,BSHM,5.60907,1667350800.0
0.531886,32.0,35.0,BSHM,5.94248,1667351100.0
0.531548,32.0,35.0,BSHM,6.09666,1667351400.0
0.582077,32.0,35.0,BSHM,6.15194,1667351700.0
0.492153,32.0,35.0,BSHM,5.96304,1667352000.0
0.491935,32.0,35.0,BSHM,5.79038,1667352300.0
0.492216,32.0,35.0,BSHM,5.57709,1667352600.0
0.46032,32.0,35.0,BSHM,5.39096,1667352900.0
0.460509,32.0,35.0,BSHM,5.15524,1667353200.0
0.41191,32.0,35.0,BSHM,4.97211,1667353500.0
0.433971,32.0,35.0,BSHM,4.74295,1667353800.0
0.460256,32.0,35.0,BSHM,4.53412,1667354100.0
0.433968,32.0,35.0,BSHM,4.18092,1667354400.0
0.433922,32.0,35.0,BSHM,3.8901,1667354700.0
0.460252,32.0,35.0,BSHM,3.68312,1667355000.0
0.46088,32.0,35.0,BSHM,3.49248,1667355300.0
0.49237,32.0,35.0,BSHM,3.15754,1667355600.0
0.492223,32.0,35.0,BSHM,2.84713,1667355900.0
0.43416,32.0,35.0,BSHM,2.89006,1667356200.0
0.461048,32.0,35.0,BSHM,2.56189,1667356500.0
0.531564,32.0,35.0,BSHM,2.52896,1667356800.0
0.492268,32.0,35.0,BSHM,2.47391,1667357100.0
0.492451,32.0,35.0,BSHM,2.52517,1667357400.0
0.460345,32.0,35.0,BSHM,2.64142,1667357700.0
0.392653,32.0,35.0,BSHM,2.69389,1667358000.0
0.4603,32.0,35.0,BSHM,2.7865,1667358300.0
0.460234,32.0,35.0,BSHM,2.79134,1667358600.0
0.433915,32.0,35.0,BSHM,2.82734,1667358900.0
0.433976,32.0,35.0,BSHM,2.90741,1667359200.0
0.531246,32.0,35.0,BSHM,2.96595,1667359500.0
0.53169,32.0,35.0,BSHM,3.14525,1667359800.0
0.531798,32.0,35.0,BSHM,4.68661,1667360100.0
0.58258,32.0,35.0,BSHM,5.56048,1667360400.0
0.650944,32.0,35.0,BSHM,6.27946,1667360700.0
0.651086,32.0,35.0,BSHM,6.855,1667361000.0
0.751937,32.0,35.0,BSHM,8.14864,1667361300.0
0.651301,32.0,35.0,BSHM,9.11918,1667361600.0
0.532209,32.0,35.0,BSHM,9.65224,1667361900.0
0.532236,32.0,35.0,BSHM,9.99494,1667362200.0
0.651792,32.0,35.0,BSHM,10.5812,1667362500.0
0.461338,32.0,35.0,BSHM,10.977,1667362800.0
0.49228,32.0,35.0,BSHM,11.4462,1667363100.0
0.531546,32.0,35.0,BSHM,12.3201,1667363400.0
0.460969,32.0,35.0,BSHM,13.1644,1667363700.0
0.492148,32.0,35.0,BSHM,13.8143,1667364000.0
0.434277,32.0,35.0,BSHM,14.4598,1667364300.0
0.392613,32.0,35.0,BSHM,15.0219,1667364600.0
0.348274,32.0,35.0,BSHM,15.7811,1667364900.0
0.392771,32.0,35.0,BSHM,16.2929,1667365200.0
